6.74882037e+00 2.68444676e-02 1.20180799e-07 8.70000000e-04 1.66597447e-07 8.70292778e-04 2.71780407e-13 1.60898752e+01
7.17573640e+00 1.14503756e-01 1.54878218e-07 7.16000000e-04 2.08440655e-07 7.16029610e-04 3.36475593e-13 2.40735707e+01
7.60265242e+00 4.73860729e-01 1.89683217e-07 5.81000000e-04 2.47964749e-07 5.81164390e-04 3.81001178e-13 3.58806702e+01
8.02956845e+00 1.92489330e+00 2.23629578e-07 4.65000000e-04 2.84297818e-07 4.65230772e-04 4.02765933e-13 5.35539202e+01
8.45648448e+00 7.68731093e+00 2.56318082e-07 3.68000000e-04 3.17909223e-07 3.68383184e-04 4.06421683e-13 8.03246320e+01
8.88340050e+00 2.94972304e+01 2.83911630e-07 2.91000000e-04 3.44162131e-07 2.91069003e-04 3.88393685e-13 1.18711182e+02
9.31031653e+00 1.04488814e+02 2.96053301e-07 2.34000000e-04 3.50225027e-07 2.34087493e-04 3.35237250e-13 1.65886936e+02
9.73723255e+00 3.51612276e+02 2.86648729e-07 1.90000000e-04 3.30942638e-07 1.90441932e-04 2.54188641e-13 2.20187534e+02
1.01641486e+01 1.23416463e+03 2.64238126e-07 1.52000000e-04 2.96142012e-07 1.52171670e-04 1.67462460e-13 2.90816065e+02
1.05910646e+01 4.49917321e+03 2.43113407e-07 1.15000000e-04 2.66190966e-07 1.15196252e-04 1.08245167e-13 4.18718720e+02
