7.99915653e+00 7.99915653e+00 1.85239384e-07 4.67000000e-04 2.22500422e-07 4.67023982e-04 4.67023982e-04 2.59185960e-13 4.26797634e+01 8.45688385e-16 4.70239748e+01
8.18357854e+00 8.18357854e+00 1.92529889e-07 4.23000000e-04 2.22428926e-07 4.23055139e-04 4.23055139e-04 2.27231458e-13 4.54873600e+01 5.40376740e-16 5.13644271e+01
8.36800054e+00 8.36800054e+00 1.98785710e-07 3.82000000e-04 2.22389349e-07 3.82039446e-04 3.82039446e-04 1.95987240e-13 4.82870812e+01 3.38062414e-16 6.07244106e+01
8.55242255e+00 8.55242255e+00 2.04066054e-07 3.45000000e-04 2.22338576e-07 3.45029153e-04 3.45029153e-04 1.66163060e-13 5.09514055e+01 2.06356912e-16 7.09251482e+01
8.73684455e+00 8.73684455e+00 2.08448076e-07 3.10000000e-04 2.22422991e-07 3.10019993e-04 3.10019993e-04 1.39179404e-13 5.36466608e+01 1.23898216e-16 8.40537620e+01
8.92126656e+00 8.92126656e+00 2.12016025e-07 2.79000000e-04 2.22541193e-07 2.79018468e-04 2.79018468e-04 1.15036090e-13 5.62334064e+01 7.29051115e-17 9.90508712e+01
9.10568856e+00 9.10568856e+00 2.14855120e-07 2.49000000e-04 2.22389181e-07 2.49005062e-04 2.49005062e-04 9.23125582e-14 5.76783541e+01 4.06357723e-17 1.18272041e+02
9.29011057e+00 9.29011057e+00 2.17048810e-07 2.24000000e-04 2.22459786e-07 2.24003786e-04 2.24003786e-04 7.38503746e-14 5.93883057e+01 2.26051142e-17 1.39164843e+02
9.47453258e+00 9.47453258e+00 2.18677486e-07 1.99000000e-04 2.22473443e-07 1.99007299e-04 1.99007299e-04 5.82281656e-14 6.06375813e+01 1.21892827e-17 1.66747902e+02
9.65895458e+00 9.65895458e+00 2.19822815e-07 1.77000000e-04 2.22448192e-07 1.77012978e-04 1.77012978e-04 4.54463862e-14 6.16221140e+01 6.50633085e-18 1.99236383e+02
9.84337659e+00 9.84337659e+00 2.20565608e-07 1.57000000e-04 2.22542321e-07 1.57008890e-04 1.57008890e-04 3.69251909e-14 6.55047436e+01 3.75849569e-18 2.38852504e+02
1.00277986e+01 1.00277986e+01 2.20982294e-07 1.39000000e-04 2.22321450e-07 1.39001789e-04 1.39001789e-04 2.84039923e-14 6.61961038e+01 1.94823053e-18 2.86938816e+02
1.02122206e+01 1.02122206e+01 2.21137118e-07 1.23000000e-04 2.22382914e-07 1.23005834e-04 1.23005834e-04 2.55636051e-14 7.85396686e+01 1.37999600e-18 3.44818551e+02
1.03966426e+01 1.03966426e+01 2.21079591e-07 1.08000000e-04 2.22512625e-07 1.08000354e-04 1.08000354e-04 2.55635377e-14 1.03838635e+02 1.20770715e-18 4.19054547e+02
1.05810646e+01 1.05810646e+01 2.20845773e-07 9.50000000e-05 2.22498151e-07 9.50005522e-05 9.50005522e-05 2.55635668e-14 1.37624196e+02 1.05526525e-18 5.07699510e+02
