1.03240062e+01 1.97030766e+03 2.20804290e-07 1.13808268e-04 2.20804466e-07 1.13808615e-04 2.90853870e-16 1.05968820e+00 3.63366030e-22 3.87026763e+02 2.46469063e-10 -9.93140583e-01 2.10738395e-02
1.03277970e+01 1.99336444e+03 2.20804294e-07 1.13574210e-04 2.20804506e-07 1.13574629e-04 3.18915058e-16 1.16858363e+00 4.35387367e-22 3.88223422e+02 2.93852860e-10 -9.91637214e-01 2.52507099e-02
1.03260659e+01 1.98280194e+03 2.20804304e-07 1.13690200e-04 2.20804559e-07 1.13690703e-04 3.49683409e-16 1.27798719e+00 5.25269275e-22 3.87629054e+02 3.68423638e-10 -9.89982620e-01 3.04636050e-02
1.03247020e+01 1.97451938e+03 2.20804303e-07 1.13806190e-04 2.20804608e-07 1.13806795e-04 3.83420233e-16 1.39840710e+00 6.31331018e-22 3.87036110e+02 4.31083661e-10 -9.88035566e-01 3.66147694e-02
1.03236274e+01 1.96801809e+03 2.20804296e-07 1.13922180e-04 2.20804663e-07 1.13922908e-04 4.20411922e-16 1.53084122e+00 7.59473051e-22 3.86444570e+02 5.14503514e-10 -9.85673848e-01 4.40465456e-02
1.03275023e+01 1.99156260e+03 2.20804294e-07 1.13574210e-04 2.20804738e-07 1.13575084e-04 4.60972511e-16 1.68836726e+00 9.10593794e-22 3.88221192e+02 6.24667039e-10 -9.82514632e-01 5.28108217e-02
1.03258337e+01 1.98138969e+03 2.20804302e-07 1.13690200e-04 2.20804834e-07 1.13691250e-04 5.05446309e-16 1.84660732e+00 1.09645679e-21 3.87626392e+02 7.53467781e-10 -9.79100978e-01 6.35902333e-02
1.03245190e+01 1.97341126e+03 2.20804300e-07 1.13806190e-04 2.20804939e-07 1.13807452e-04 5.54210855e-16 2.02075616e+00 1.31772512e-21 3.87032930e+02 8.79730205e-10 -9.75038022e-01 7.64229087e-02
1.03281958e+01 1.99580616e+03 2.20804291e-07 1.13574210e-04 2.20805062e-07 1.13575733e-04 6.07680112e-16 2.22802931e+00 1.58188889e-21 3.88218052e+02 1.08809570e-09 -9.69518330e-01 9.17432408e-02
1.03263801e+01 1.98471527e+03 2.20804306e-07 1.13690200e-04 2.20805231e-07 1.13692029e-04 6.66307996e-16 2.43630803e+00 1.90475712e-21 3.87622651e+02 1.31153116e-09 -9.63591670e-01 1.10468465e-01
1.03249496e+01 1.97602041e+03 2.20804306e-07 1.13806190e-04 2.20805417e-07 1.13808388e-04 7.30592189e-16 2.66560427e+00 2.29186841e-21 3.87028458e+02 1.56525948e-09 -9.56476037e-01 1.32919520e-01
1.03238224e+01 1.96919673e+03 2.20804299e-07 1.13922180e-04 2.20805634e-07 1.13924824e-04 8.01078401e-16 2.91781547e+00 2.75807249e-21 3.86435411e+02 1.88354427e-09 -9.47882821e-01 1.59957732e-01
1.03276540e+01 1.99249022e+03 2.20804294e-07 1.13574210e-04 2.20805903e-07 1.13577388e-04 8.78365009e-16 3.21785329e+00 3.30980727e-21 3.88210121e+02 2.32342531e-09 -9.36345696e-01 1.91955894e-01
1.03259533e+01 1.98211677e+03 2.20804303e-07 1.13690200e-04 2.20806236e-07 1.13694014e-04 9.63108084e-16 3.51927168e+00 3.97791446e-21 3.87613176e+02 2.69935868e-09 -9.24114713e-01 2.30703390e-01
1.03246132e+01 1.97398179e+03 2.20804301e-07 1.13806190e-04 2.20806622e-07 1.13810779e-04 1.05602701e-15 3.85101805e+00 4.79421206e-21 3.87017096e+02 3.33660112e-09 -9.09054926e-01 2.78046165e-01
1.03282691e+01 1.99625492e+03 2.20804291e-07 1.13574210e-04 2.20807089e-07 1.13579743e-04 1.15791058e-15 4.24589114e+00 5.74873120e-21 3.88198897e+02 4.02709167e-09 -8.89132164e-01 3.33403784e-01
1.03264378e+01 1.98506687e+03 2.20804306e-07 1.13690200e-04 2.20807665e-07 1.13696838e-04 1.26962371e-15 4.64269308e+00 6.91034357e-21 3.87599781e+02 4.68598453e-09 -8.67883311e-01 4.00772575e-01
1.03249950e+01 1.97629621e+03 2.20804307e-07 1.13806190e-04 2.20808341e-07 1.13814166e-04 1.39211472e-15 5.07955233e+00 8.30965280e-21 3.87001099e+02 5.52242756e-09 -8.42216098e-01 4.81927067e-01
1.03238583e+01 1.96941327e+03 2.20804300e-07 1.13922180e-04 2.20809146e-07 1.13931782e-04 1.52642342e-15 5.56008297e+00 1.00137487e-20 3.86402597e+02 6.83278412e-09 -8.10759930e-01 5.80759383e-01
