9.30430842e+00 8.58027972e+01 2.16437653e-07 2.22000000e-04 2.50630866e-07 2.79650271e-04 1.84062559e-13 1.51743159e+02
9.42128625e+00 1.23006994e+02 2.17520120e-07 2.06000000e-04 2.50821688e-07 2.59528428e-04 1.74855988e-13 1.69798000e+02
9.53826409e+00 1.76299604e+02 2.18414544e-07 1.92000000e-04 2.50265840e-07 2.41901831e-04 1.64401823e-13 1.88451515e+02
9.65524192e+00 2.52629420e+02 2.19139928e-07 1.78000000e-04 2.50078302e-07 2.24295409e-04 1.55636461e-13 2.11004660e+02
9.77221976e+00 3.61944561e+02 2.19713736e-07 1.65000000e-04 2.49698041e-07 2.07942727e-04 1.47048790e-13 2.36208732e+02
9.88919759e+00 5.18485656e+02 2.20151748e-07 1.53000000e-04 2.49111061e-07 1.92845393e-04 1.38585397e-13 2.64178165e+02
1.00061754e+01 7.42637003e+02 2.20468061e-07 1.42000000e-04 2.48298845e-07 1.79005743e-04 1.30183654e-13 2.94918636e+02
1.01231533e+01 1.06358254e+03 2.20675096e-07 1.31000000e-04 2.47905710e-07 1.65157185e-04 1.23346973e-13 3.32506041e+02
1.02401311e+01 1.52310141e+03 2.20783756e-07 1.21000000e-04 2.47270302e-07 1.52560629e-04 1.16451442e-13 3.73976105e+02
1.03571089e+01 2.18099769e+03 2.20803483e-07 1.12000000e-04 2.46333312e-07 1.41215939e-04 1.09393532e-13 4.18957675e+02
1.04740868e+01 3.12287026e+03 2.20742309e-07 1.04000000e-04 2.45048115e-07 1.31125351e-04 1.02078160e-13 4.66655095e+02
1.05910646e+01 4.47125532e+03 2.20606908e-07 9.60000000e-05 2.44149001e-07 1.21000339e-04 9.60545283e-14 5.24602435e+02
